ID	URL	Submitted by
8974433	https://ollx.17049894.xyz/	Amarena98
8974431	https://nuumelhorescolha.com/Havan/1/	AllegraMueller
8974423	https://wolterskluwernv.com/	r3gersec
8974422	http://wolterskluwernv.com	r3gersec
8974421	https://gasprofitsoftware.com	Felix0101
8974420	https://xcoin-platform.io	tuanphuong
8974414	https://theonemarketing.top/	segasec
8974413	http://theonemarketing.top/	segasec
8974412	https://bancaribeconexion.tiiny.io	asd123456
8974411	https://flantymabanvene.shop/empresas/	asd123456
8974410	http://motionlnd.com	r3gersec
8974409	https://bradesco.formacao-primedigital2.world/slpr...	asd123456
8974408	https://fargemas.ru.com/	crocsbc
8974407	https://pichincha.gdhsh.cc	voldemor
8974406	https://gravatar.com/wildlytenacious45df2d12c5	prodigyabuse
